feature,value,pdp
anall innbyggere,247074.22545454543,16489397.98650802
anall innbyggere,249356.1827272727,16489397.98650802
anall innbyggere,251638.13999999998,16489397.98650802
anall innbyggere,253920.09727272726,16489397.98650802
anall innbyggere,256202.05454545454,16489397.98650802
anall innbyggere,258484.01181818178,16489397.98650802
anall innbyggere,260765.96909090906,16489397.98650802
anall innbyggere,263047.92636363633,16489397.98650802
anall innbyggere,265329.8836363636,16489397.98650802
anall innbyggere,267611.8409090909,16489397.98650802
anall innbyggere,269893.79818181816,16489397.98650802
anall innbyggere,272175.75545454543,17485906.491053347
anall innbyggere,274457.7127272727,18480228.19017453
anall innbyggere,276739.67,18598248.19474397
t_index,7.010000000000001,-481515.9608517048
t_index,8.211818181818183,-481515.9608517048
t_index,9.413636363636364,-481515.9608517048
t_index,10.615454545454545,-349622.33658432245
t_index,11.817272727272726,-349622.33658432245
t_index,13.01909090909091,-383562.1259103813
t_index,14.22090909090909,-383562.1259103813
t_index,15.422727272727272,-383562.1259103813
t_index,16.624545454545455,-383562.1259103813
t_index,17.826363636363634,-301978.9891036486
t_index,19.028181818181817,-301978.9891036486
t_index,20.23,-301978.9891036486
t_index,21.43181818181818,-256443.44557632483
t_index,22.633636363636363,-257721.85283236892
t_index,23.835454545454546,-240838.32504223712
t_index,25.037272727272725,-240838.32504223712
t_index,26.23909090909091,-240838.32504223712
t_index,27.44090909090909,-240838.32504223712
t_index,28.64272727272727,-195760.38528925227
t_index,29.844545454545454,-195760.38528925227
t_index,31.046363636363633,-195760.38528925227
t_index,32.24818181818181,-169494.66073253646
t_index,33.449999999999996,-169494.66073253646
t_index,34.65181818181818,-145690.96580519862
t_index,35.85363636363636,-145690.96580519862
t_index,37.055454545454545,-144479.65117390986
t_index,38.25727272727272,-144479.65117390986
t_index,39.459090909090904,-130315.98938621195
t_index,40.66090909090909,-129817.34870668035
t_index,41.86272727272727,-80814.42388846721
t_index,43.064545454545446,-80814.42388846721
t_index,44.26636363636363,-128194.0561830195
t_index,45.46818181818181,-149795.67174829307
t_index,46.669999999999995,-149795.67174829307
t_index,47.87181818181818,-135795.3953132984
t_index,49.07363636363635,-136544.19598984608
t_index,50.27545454545454,-136544.19598984608
t_index,51.47727272727272,-135705.87701443883
t_index,52.6790909090909,-135448.08124479084
t_index,53.880909090909086,-124534.76707771768
t_index,55.08272727272726,-125171.82143960845
t_index,56.284545454545444,-125171.82143960845
t_index,57.48636363636363,-125171.82143960845
t_index,58.68818181818181,-125171.82143960845
t_index,59.88999999999999,-125171.82143960845
t_index,61.09181818181818,-125171.82143960845
t_index,62.29363636363635,-97526.09649093183
t_index,63.495454545454535,-95450.33846164033
t_index,64.69727272727272,-95450.33846164033
t_index,65.8990909090909,-76163.63082342414
t_index,67.10090909090908,-76163.63082342414
t_index,68.30272727272727,-76163.63082342414
t_index,69.50454545454545,-76163.63082342414
t_index,70.70636363636363,-76163.63082342414
t_index,71.90818181818182,-76163.63082342414
t_index,73.11,-76163.63082342414
t_index,74.31181818181818,-76163.63082342414
t_index,75.51363636363637,-76163.63082342414
t_index,76.71545454545455,-76163.63082342414
t_index,77.91727272727272,-78658.54669794193
t_index,79.1190909090909,-78658.54669794193
t_index,80.32090909090908,-78658.54669794193
t_index,81.52272727272727,-78658.54669794193
t_index,82.72454545454545,-78658.54669794193
t_index,83.92636363636363,-51331.77826177504
t_index,85.12818181818182,-45274.438416682235
t_index,86.33,12866.146955215569
t_index,87.53181818181818,12866.146955215569
t_index,88.73363636363636,34076.96225036041
t_index,89.93545454545455,35098.976331777216
t_index,91.13727272727272,23863.78893109763
t_index,92.3390909090909,23863.78893109763
t_index,93.54090909090908,33102.88940580369
t_index,94.74272727272727,30780.17567791743
t_index,95.94454545454545,30780.17567791743
t_index,97.14636363636363,30780.17567791743
t_index,98.34818181818181,30780.17567791743
t_index,99.55,2321.52673171244
t_index,100.75181818181818,2321.52673171244
t_index,101.95363636363636,2321.52673171244
t_index,103.15545454545453,2321.52673171244
t_index,104.35727272727271,1184.3805022789318
t_index,105.5590909090909,18697.802082948678
t_index,106.76090909090908,18697.802082948678
t_index,107.96272727272726,14043.808625353326
