row_id,scenario,anall innbyggere,pred,delta_pop,pred_plus,pred_minus,derivative_dY_dPop,elasticity
98,minus2pct,83968.0,2316958.375926597,839.6800000000001,2325441.3609936787,2316958.375926597,5.051320185714623,0.1830629577816476
99,basis,85716.0,2107457.791859515,857.16,2107457.791859515,2107457.791859515,0.0,0.0
100,pluss2pct,87430.0,2107457.791859515,874.3000000000001,2107457.791859515,2107457.791859515,0.0,0.0
101,minus2pct,84002.0,2098974.8067924334,840.02,2107457.791859515,2098974.8067924334,5.049275652413988,0.2020744851160206
102,basis,85751.0,2358783.936941884,857.51,2358783.936941884,2358783.936941884,0.0,0.0
103,pluss2pct,87466.0,2358783.936941884,874.66,2358783.936941884,2358783.936941884,0.0,0.0
104,minus2pct,84036.0,2350300.9518748014,840.36,2358783.936941884,2350300.9518748014,5.0472327735033575,0.18046593267802166
105,basis,85786.0,2358306.630698845,857.86,2358306.630698845,2358306.630698845,0.0,0.0
106,pluss2pct,87502.0,2358306.630698845,875.02,2358306.630698845,2358306.630698845,0.0,0.0
107,minus2pct,84070.0,2349823.645631762,840.7,2358306.630698845,2349823.645631762,5.045191546974306,0.18050258969119154
108,basis,70290.0,1132370.5653482848,702.9,1132370.5653482848,1132370.5653482848,0.0,0.0
109,pluss2pct,71695.0,1132370.5653482848,716.95,1132370.5653482848,1132370.5653482848,0.0,0.0
110,minus2pct,68884.0,1122621.9917372568,688.84,1132370.5653482848,1122621.9917372568,7.076079794312232,0.43418771780615867
111,basis,70316.0,892488.2585845417,703.16,892488.2585845417,892488.2585845417,0.0,0.0
112,pluss2pct,71722.0,892488.2585845417,717.22,892488.2585845417,892488.2585845417,0.0,0.0
113,minus2pct,68910.0,882739.6849735137,689.1,892488.2585845417,882739.6849735137,7.073409963015487,0.5521771467270357
114,basis,70343.0,1169068.6213438069,703.4300000000001,1169068.6213438069,1169068.6213438069,0.0,0.0
115,pluss2pct,71750.0,1169068.6213438069,717.5,1169068.6213438069,1169068.6213438069,0.0,0.0
116,minus2pct,68936.0,1159320.0477327788,689.36,1169068.6213438069,1159320.0477327788,7.070742145633645,0.420443588036487
117,basis,70369.0,1168591.3151007676,703.69,1168591.3151007676,1168591.3151007676,0.0,0.0
118,pluss2pct,71777.0,1168591.3151007676,717.77,1168591.3151007676,1168591.3151007676,0.0,0.0
119,minus2pct,68962.0,1158842.7414897396,689.62,1168591.3151007676,1158842.7414897396,7.068076339888702,0.4206167611015065
120,basis,144722.0,10276710.076363774,1447.22,10276710.076363774,10254174.987514256,7.78564725802519,0.10964155202426445
121,pluss2pct,147616.0,10347592.756706072,1476.16,10389029.526445115,10276710.076363774,38.04447013919247,0.542732269824538
122,minus2pct,141827.0,10152751.397241589,1418.27,10254174.987514256,9271040.191434097,346.5964858877951,4.8417160906120245
123,basis,144753.0,9506741.989875546,1447.53,9506741.989875546,9484206.901026027,7.783979900077534,0.11852161799235637
124,pluss2pct,147648.0,9577624.670217844,1476.48,9619061.439956887,9506741.989875546,38.03622469702948,0.5863638112203527
125,minus2pct,141858.0,9382783.31075336,1418.58,9484206.901026027,8536090.597113844,334.17794693009625,5.052425663638533
126,basis,144784.0,10624197.718658112,1447.84,10624197.718658112,10601662.629808594,7.782313256132757,0.10605548506473388
127,pluss2pct,147679.0,10695080.39900041,1476.79,10736517.168739453,10624197.718658112,38.02824033252539,0.5250986710293362
128,minus2pct,141888.0,10500239.039535927,1418.88,10601662.629808594,9598676.04885436,353.4430610602129,4.776017846725889
129,basis,144815.0,10706009.306449216,1448.15,10706009.306449216,10683474.217599697,7.780647325732327,0.10524504605064923
130,pluss2pct,147711.0,10776891.986791514,1477.1100000000001,10818328.756530557,10706009.306449216,38.0200019231276,0.5211124423396103
131,minus2pct,141918.0,10582050.62732703,1419.18,10683474.217599697,9680487.636645464,353.3683468461499,4.7390936609400205
